Species_common,Species_NFI,a0,a1,a2,b1,b2,b3,b4,b5,N,RSS
White spruce,PICE.GLA,1.028894,0.942483,0.999984,2.162679,-0.52078,3.553711,-1.922393,0.154525,15824,3.99
Black spruce,PICE.MAR,0.933348,0.993014,0.998033,1.634033,-0.377332,2.839266,-1.52383,0.224967,15158,0.59
Jack pine,PINU.BAN,0.738222,1.080307,0.994994,0.946525,-0.21528,1.529815,-0.769171,0.167008,12284,1.73
Balsam fir,ABIE.BAL,0.850978,1.03741,0.996623,1.726301,-0.374214,2.879779,-1.53501,0.205714,3580,1.49
Tamarack larch,LARI.LAR,0.745588,1.123195,0.990416,1.119887,-0.29535,1.562785,0.756463,0.151162,2301,1.16
Lodgepole pine,PINU.CON,0.965401,0.970357,1.000435,1.507149,-0.263651,1.450598,-0.942382,0.191585,1824,2.08
Trembling aspen,POPU.TRE,0.758908,1.053024,0.996492,-0.148669,0.067875,-1.892333,1.009093,0.076416,15523,3.85
Black poplar,POPU.BAL,0.76702,1.017008,0.997743,-0.367639,0.056375,-2.018467,1.238476,-0.037714,6060,7.26
White birch,BETU.PAP,0.790913,1.06243,0.995247,-0.194606,0.024172,-1.853877,1.153796,-0.04053,4396,5.64
Green ash,FRAX.PEN,1.000092,0.936587,1.000235,1.467591,-0.4836,2.919951,-1.370717,-0.039554,734,1.79
Manitoba maple,ACER.NEG,0.766925,1.059614,0.995625,0.205406,-0.034736,-0.720112,0.529446,0.016027,1545,2.97
White elm,ULMU.AME,0.784025,1.006287,0.998168,0.393405,-0.097708,-0.616395,0.407093,0.073362,1625,5.18
