name_eng,Species,b2,Di2,Dij2,Dijk
Alpine fir,ABIELAS,2.1751,0,0,0.0813
Balsam Fir,ABIEBAL,2.125,0.0263,0.0579,0.0735
Balsam Poplar,POPUBAL,2.1741,0.047,0.0303,0.0536
Basswood,TILIAMA,2.1492,0,0,0.0915
Beech,FAGUGRA,2.1408,0.0708,0,0.084
Black Ash,FRAXNIG,2.1421,0,0,0.0709
Black Cherry,PRUNSER,2.1739,0,0,0.0001
Black Spruce,PICEMAR,2.1788,0.049,0.0823,0.1053
Black poplar,POPUNIG,2.2069,0,0.0459,0.0997
Douglas-fir,PSEUMEN,2.1436,0,0.0398,0.0564
Eastern Hemlock,TSUGCAN,2.1407,0.0463,0.0001,0.0668
Eastern White Cedar,THUJOCC,2.2224,0.0695,0,0.1151
Eastern White Pine,PINUSTR,2.2216,0,0,0.1049
Engelmann spruce,PICEENG,2.1826,0,0.0561,0.051
Hickory,CARYSPP,2.2484,0,0,0.0953
Jack Pine,PINUBAN,2.1413,0.0262,0,0.0636
Largetooth Aspen,POPUGRA,2.0836,0,0,0.0441
Lodgepole Pine,PINUCON,2.1369,0.0394,0.0422,0.0619
Manitoba maple,ACERNEG,2.1242,0,0,0.0647
Red Ash,FRAXPEN,2.1774,0,0,0.0002
Red Maple,ACERRUB,2.1286,0.0242,0,0.0699
Red Oak,QUERRUB,2.2391,0,0.088,0.1117
Red Pine,PINURES,2.1769,0,0.029,0.0347
Red Spruce,PICERUB,2.1221,0,0,0.0506
Silver Maple,ACERSAC,2.305,0,0,0.1171
Sugar Maple,ACERSAH,2.1661,0,0,0.0997
Tamarack,LARILAR,2.2086,0,0,0.0805
Trembling Aspen,POPUTRE,2.1482,0.048,0.0489,0.0672
White Ash,FRAXAME,2.2253,0,0,0.0966
White Birch,BETUPAP,2.1957,0,0,0.0905
White Elm,ULMUAME,2.2583,0,0.0515,0.1339
White Oak,QUERALB,2.2393,0,0,0.1214
White Spruce,PICEGLA,2.1443,0.0351,0.0317,0.0498
Yellow Birch,BETUALL,2.3467,0,0,0.204
