nfi_species,source_species,bec_zone,a1,a2,a3,a4,page,source_short
PINU.CON,lodgepole pine,PROV,0.0014240,1.80100,0.018200,0.95370,11,"Nigh2004 Rr25 Table 3 (eqs 3,5,6); PROV row = Table 2"
PICE.GLA,interior spruce,PROV,0.0009952,0.98420,0.029430,1.01700,11,"Nigh2004 Rr25 Table 3 (eqs 3,5,6); PROV row = Table 2"
PINU.CON,lodgepole pine,BWBS,0.0014240,1.87198,0.018200,0.94287,11,"Nigh2004 Rr25 Table 3 (eqs 3,5,6); PROV row = Table 2"
PICE.GLA,interior spruce,BWBS,0.0009952,1.23630,0.021027,1.01700,11,"Nigh2004 Rr25 Table 3 (eqs 3,5,6); PROV row = Table 2"
PINU.CON,lodgepole pine,ESSF,0.0014240,1.80100,0.015176,0.95370,11,"Nigh2004 Rr25 Table 3 (eqs 3,5,6); PROV row = Table 2"
PICE.GLA,interior spruce,ESSF,0.0009952,0.69490,0.029430,1.05518,11,"Nigh2004 Rr25 Table 3 (eqs 3,5,6); PROV row = Table 2"
PINU.CON,lodgepole pine,ICH,0.0014240,2.15190,0.005630,0.94287,11,"Nigh2004 Rr25 Table 3 (eqs 3,5,6); PROV row = Table 2"
PICE.GLA,interior spruce,ICH,0.0015160,1.57350,0.015550,0.97469,11,"Nigh2004 Rr25 Table 3 (eqs 3,5,6); PROV row = Table 2"
PINU.CON,lodgepole pine,IDF,0.0004980,1.80100,0.034010,0.95370,11,"Nigh2004 Rr25 Table 3 (eqs 3,5,6); PROV row = Table 2"
PICE.GLA,interior spruce,IDF,0.0003167,0.69490,0.056150,1.01700,11,"Nigh2004 Rr25 Table 3 (eqs 3,5,6); PROV row = Table 2"
PINU.CON,lodgepole pine,MS,0.0014240,1.87198,0.018200,0.94287,11,"Nigh2004 Rr25 Table 3 (eqs 3,5,6); PROV row = Table 2"
PICE.GLA,interior spruce,MS,0.0001178,1.57350,0.056150,0.93894,11,"Nigh2004 Rr25 Table 3 (eqs 3,5,6); PROV row = Table 2"
PINU.CON,lodgepole pine,SBS,0.0022272,1.80100,0.018200,0.93345,11,"Nigh2004 Rr25 Table 3 (eqs 3,5,6); PROV row = Table 2"
PICE.GLA,interior spruce,SBS,0.0009952,1.57350,-0.006430,1.05518,11,"Nigh2004 Rr25 Table 3 (eqs 3,5,6); PROV row = Table 2"
PINU.CON,lodgepole pine,SBPS,0.0004980,2.15190,0.018200,0.95370,11,"Nigh2004 Rr25 Table 3 (eqs 3,5,6); PROV row = Table 2"
PICE.GLA,interior spruce,SBPS,0.0001178,1.57350,0.029430,1.01700,11,"Nigh2004 Rr25 Table 3 (eqs 3,5,6); PROV row = Table 2"
