tree_spec,delta,nu,rho,beta,gamma,chi,stumpht,topd,topd2,Loglength
20,"	0.96","	0","		1.51","	-1.5068","	0.6819","	0",0.3,9.1,4,2.54
22,"	0.92","	0","		0.03","	-1.6401","	0.6572","	0",0.3,9.1,4,2.54
3,"	1.04","	-1.06","	0.96","	-1.8347","	0.9598","	0",0.3,9.1,4,2.54
2,"	1.01","	-1.09","	0.66","	-1.9458","	1.0426","	0",0.3,13.1,10,2.54
1,"	0.98","	-0.95","	0.04","	-1.8788","	0.9086","	0",0.3,13.1,10,2.54
13,"	1.05","	-0.8","	1.31","	-1.8332","	0.9874","	0",0.3,9.1,4,2.54
12,"	1.08","	-0.85","	1.74","	-1.4544","	0.6622","	0",0.3,9.1,4,2.54
46,"	0","		0","		0","		-1.4988","	0.7472","	0.5711",0.3,17.1,10,2.54
51,"	0","		0","		0","		-1.311","	0.5435","	0.5519",0.3,17.1,10,2.54
44,"	0","		0","		0","		-1.7933","	1","		0.7",0.3,17.1,10,2.54
38,"	0","		0","		0","		-1.5241","	0.7522","	0.7123",0.3,13.1,10,2.54
58,"	0","		0","		0","		-1.3347","	0.5785","	0.6503",0.3,17.1,10,2.54
30,"	0","		0","		0","		-1.7782","	1","		0.6746",0.3,17.1,10,2.54
41,"	0","		0","		0","		-1.8495","	1","		0.5882",0.3,17.1,10,2.54
70,"	0","		0","		0","		-1.574","		0.7315","	0.5193",0.3,13.1,10,2.54
74,"	0","		0","		0","		-1.775"," 	0.8974","	0.5038",0.3,13.1,10,2.54
25,"	1.04","	-1.06","	0.96","	-1.8347","	0.9598","	0",0.3,9.1,4,2.54
19,"	1.08","	-0.85","	1.74","	-1.4544","	0.6622","	0",0.3,13.1,4,2.54
32,"	0","		0","		0","		-1.7782","	1","		0.6746",0.3,17.1,10,2.54
37,"	0","		0","		0","		-1.7782","	1","		0.6746",0.3,17.1,10,2.54
45,"	0","		0","		0","		-1.7782","	1","		0.6746",0.3,17.1,10,2.54
50,"	0","		0","		0","		-1.7782","	1","		0.6746",0.3,17.1,10,2.54
73,"	0","		0","		0","		-1.574","		0.7315","	0.5193",0.3,13.1,10,2.54
99,"	0","		0","		0","		-1.7782","	1","		0.6746",0.3,17.1,10,2.54
