Province,Subregion,Species,ModelName,ParName,ParVal,Reference
MB,ALL,PINUBAN,Kozak88,a0,0.9674,Klos
MB,ALL,PINUBAN,Kozak88,a1,0.9746,Klos
MB,ALL,PINUBAN,Kozak88,a2,0.9976,Klos
MB,ALL,PINUBAN,Kozak88,b1,0.1459,Klos
MB,ALL,PINUBAN,Kozak88,b2,-0.0402,Klos
MB,ALL,PINUBAN,Kozak88,b3,0.0487,Klos
MB,ALL,PINUBAN,Kozak88,b4,0.1266,Klos
MB,ALL,PINUBAN,Kozak88,b5,0.0753,Klos
MB,ALL,PINUBAN,Kozak88,p,0.25,Klos
MB,ALL,PICEMAR,Kozak88,a0,0.8894,Klos
MB,ALL,PICEMAR,Kozak88,a1,1.0163,Klos
MB,ALL,PICEMAR,Kozak88,a2,0.995,Klos
MB,ALL,PICEMAR,Kozak88,b1,0.2866,Klos
MB,ALL,PICEMAR,Kozak88,b2,-0.0853,Klos
MB,ALL,PICEMAR,Kozak88,b3,0.6307,Klos
MB,ALL,PICEMAR,Kozak88,b4,-0.1714,Klos
MB,ALL,PICEMAR,Kozak88,b5,0.1491,Klos
MB,ALL,PICEMAR,Kozak88,p,0.25,Klos
MB,ALL,PICEGLA,Kozak88,a0,0.6977,Klos
MB,ALL,PICEGLA,Kozak88,a1,1.1086,Klos
MB,ALL,PICEGLA,Kozak88,a2,0.9931,Klos
MB,ALL,PICEGLA,Kozak88,b1,0.2342,Klos
MB,ALL,PICEGLA,Kozak88,b2,-0.0653,Klos
MB,ALL,PICEGLA,Kozak88,b3,0.1814,Klos
MB,ALL,PICEGLA,Kozak88,b4,0.0491,Klos
MB,ALL,PICEGLA,Kozak88,b5,0.1233,Klos
MB,ALL,PICEGLA,Kozak88,p,0.25,Klos
MB,ALL,POPUTRE,Kozak88,a0,0.6549,Klos
MB,ALL,POPUTRE,Kozak88,a1,1.128,Klos
MB,ALL,POPUTRE,Kozak88,a2,0.993,Klos
MB,ALL,POPUTRE,Kozak88,b1,0.9223,Klos
MB,ALL,POPUTRE,Kozak88,b2,-0.1311,Klos
MB,ALL,POPUTRE,Kozak88,b3,0.6458,Klos
MB,ALL,POPUTRE,Kozak88,b4,-0.2967,Klos
MB,ALL,POPUTRE,Kozak88,b5,0.067,Klos
MB,ALL,POPUTRE,Kozak88,p,0.25,Klos
SK,ALL,PINUBAN,Kozak88,a0,0.738222,GalBella
SK,ALL,PINUBAN,Kozak88,a1,1.080307,GalBella
SK,ALL,PINUBAN,Kozak88,a2,0.994994,GalBella
SK,ALL,PINUBAN,Kozak88,b1,0.946525,GalBella
SK,ALL,PINUBAN,Kozak88,b2,-0.21528,GalBella
SK,ALL,PINUBAN,Kozak88,b3,1.529815,GalBella
SK,ALL,PINUBAN,Kozak88,b4,-0.769171,GalBella
SK,ALL,PINUBAN,Kozak88,b5,0.167008,GalBella
SK,ALL,PINUBAN,Kozak88,p,0.225,GalBella
SK,ALL,PICEMAR,Kozak88,a0,0.933348,GalBella
SK,ALL,PICEMAR,Kozak88,a1,0.993014,GalBella
SK,ALL,PICEMAR,Kozak88,a2,0.998033,GalBella
SK,ALL,PICEMAR,Kozak88,b1,1.634033,GalBella
SK,ALL,PICEMAR,Kozak88,b2,-0.377332,GalBella
SK,ALL,PICEMAR,Kozak88,b3,2.839266,GalBella
SK,ALL,PICEMAR,Kozak88,b4,-1.52383,GalBella
SK,ALL,PICEMAR,Kozak88,b5,0.224967,GalBella
SK,ALL,PICEMAR,Kozak88,p,0.225,GalBella
SK,ALL,PICEGLA,Kozak88,a0,1.028894,GalBella
SK,ALL,PICEGLA,Kozak88,a1,0.942483,GalBella
SK,ALL,PICEGLA,Kozak88,a2,0.999984,GalBella
SK,ALL,PICEGLA,Kozak88,b1,2.162679,GalBella
SK,ALL,PICEGLA,Kozak88,b2,-0.52078,GalBella
SK,ALL,PICEGLA,Kozak88,b3,3.553711,GalBella
SK,ALL,PICEGLA,Kozak88,b4,-1.922393,GalBella
SK,ALL,PICEGLA,Kozak88,b5,0.154525,GalBella
SK,ALL,PICEGLA,Kozak88,p,0.225,GalBella
SK,ALL,POPUTRE,Kozak88,a0,0.758908,GalBella
SK,ALL,POPUTRE,Kozak88,a1,1.053024,GalBella
SK,ALL,POPUTRE,Kozak88,a2,0.996492,GalBella
SK,ALL,POPUTRE,Kozak88,b1,-0.148669,GalBella
SK,ALL,POPUTRE,Kozak88,b2,0.067875,GalBella
SK,ALL,POPUTRE,Kozak88,b3,-1.892333,GalBella
SK,ALL,POPUTRE,Kozak88,b4,1.009093,GalBella
SK,ALL,POPUTRE,Kozak88,b5,0.076416,GalBella
SK,ALL,POPUTRE,Kozak88,p,0.225,GalBella
SK,ALL,LARILAR,Kozak88,a0,0.745588,GalBella
