juris_id,ecozone,canfi_genus,genus,prop1,prop2,prop3,prop4,prop5,v1,v2,v3,v4
AB,1,1,PICE,0.1960,0.1483,0.1317,0.1140,0.1050,196.1,285.4,342.3,421.5
AB,1,2,PINU,0.1423,0.1040,0.1075,0.0978,0.1192,143.6,221.8,283.9,360.4
AB,1,3,ABIE,0.4583,0.2747,0.1720,0.1643,0.1570,153.8,213.5,251.0,288.7
AB,1,5,PSEU,0.0540,0.0210,0.0460,0.1470,0.0310,181.5,240.0,297.0,376.5
AB,1,6,LARI,0.2480,0.1180,0.0970,0.0700,0.0290,11.0,23.5,46.5,89.5
AB,1,8,GENC,0.2170,0.1710,0.1490,0.1210,0.1140,191.0,291.0,350.0,425.0
AB,1,9,POPU,0.1358,0.1963,0.1662,0.1363,0.1362,166.5,238.2,293.3,368.0
AB,1,10,BETU,0.1370,0.0750,0.3460,0.2290,0.0530,52.5,129.5,195.5,209.5
AB,1,13,GENH,0.1370,0.0750,0.3460,0.2290,0.0530,52.5,129.5,195.5,209.5
AB,1,121,CARY,0.1370,0.0750,0.3460,0.2290,0.0530,52.5,129.5,195.5,209.5
AB,1,122,JUGL,0.1370,0.0750,0.3460,0.2290,0.0530,52.5,129.5,195.5,209.5
AB,1,123,ALNU,0.1370,0.0750,0.3460,0.2290,0.0530,52.5,129.5,195.5,209.5
AB,1,124,OSTR,0.1370,0.0750,0.3460,0.2290,0.0530,52.5,129.5,195.5,209.5
AB,1,125,CARP,0.1370,0.0750,0.3460,0.2290,0.0530,52.5,129.5,195.5,209.5
AB,1,126,FAGU,0.1370,0.0750,0.3460,0.2290,0.0530,52.5,129.5,195.5,209.5
AB,1,127,QUER,0.1370,0.0750,0.3460,0.2290,0.0530,52.5,129.5,195.5,209.5
AB,1,128,ULMU,0.1370,0.0750,0.3460,0.2290,0.0530,52.5,129.5,195.5,209.5
AB,1,129,MORU,0.1370,0.0750,0.3460,0.2290,0.0530,52.5,129.5,195.5,209.5
AB,1,130,LIRI,0.1370,0.0750,0.3460,0.2290,0.0530,52.5,129.5,195.5,209.5
AB,1,131,MAGN,0.1370,0.0750,0.3460,0.2290,0.0530,52.5,129.5,195.5,209.5
AB,1,132,SASS,0.1370,0.0750,0.3460,0.2290,0.0530,52.5,129.5,195.5,209.5
AB,1,133,PLAT,0.1370,0.0750,0.3460,0.2290,0.0530,52.5,129.5,195.5,209.5
