juris_id,ecozone,canfi_genus,genus,a,b,k,cap,volm,count,rmse
AB,4,1,PICE,99.99999999,-2.179309769,0.999101089,4.09925048,467.9581231,19,0.029353194900000001
AB,4,2,PINU,99.99999999,-1.619269195,0.971015869,1.517920318,627.71148980999999,32,0.027183894900000002
AB,4,3,ABIE,26.21988062,-1.786459277,0.998701702,1.118699712,329.0980206,12,0.023461838700000001
AB,4,5,PSEU,99.99999999,-1.680679955,0.983494956,1.066972991,410.79147707999999,11,0.013809396
AB,4,6,LARI,2.787784403,-2.108897833,1.107940282,1.205519184,199.53544905999999,21,0.119690446
AB,4,9,POPU,99.99999999,-1.415723009,0.873376851,1.565581201,451.73612403999999,14,0.060245468400000002
AB,4,10,BETU,99.99999999,-1.015892052,0.067292158,1.903010735,206.7369464,4,0.099556829200000002
AB,4,12,GENH,99.99999999,-1.015892052,0.067292158,1.903010735,206.7369464,4,0.099556829200000002
AB,5,1,PICE,7.990651974,-0.935196192,0.940352245,1.374072773,658.35024884999996,33,0.056285975
AB,5,2,PINU,99.99999999,-1.619269195,0.971015869,1.517920318,627.71148980999999,32,0.027183894900000002
AB,5,3,ABIE,26.21988062,-1.786459277,0.998701702,1.118699712,329.0980206,12,0.023461838700000001
AB,5,5,PSEU,99.99999999,-1.680679955,0.983494956,1.066972991,410.79147707999999,11,0.013809396
AB,5,6,LARI,2.787784403,-2.108897833,1.107940282,1.205519184,199.53544905999999,21,0.119690446
AB,5,9,POPU,26.6229837,-1.239799553,0.955937641,1.768822527,636.05529768999997,29,0.026182720699999999
AB,5,10,BETU,99.99999999,-1.015892052,0.067292158,1.903010735,206.7369464,4,0.099556829200000002
AB,5,12,GENH,99.99999999,-1.015892052,0.067292158,1.903010735,206.7369464,4,0.099556829200000002
AB,6,1,PICE,7.990651974,-0.935196192,0.940352245,1.374072773,658.35024884999996,33,0.056285975
AB,6,2,PINU,99.99999999,-1.619269195,0.971015869,1.517920318,627.71148980999999,32,0.027183894900000002
AB,6,3,ABIE,26.21988062,-1.786459277,0.998701702,1.118699712,329.0980206,12,0.023461838700000001
AB,6,5,PSEU,99.99999999,-1.680679955,0.983494956,1.066972991,410.79147707999999,11,0.013809396
AB,6,6,LARI,2.787784403,-2.108897833,1.107940282,1.205519184,199.53544905999999,21,0.119690446
AB,6,9,POPU,26.6229837,-1.239799553,0.955937641,1.768822527,636.05529768999997,29,0.026182720699999999
AB,6,10,BETU,99.99999999,-1.015892052,0.067292158,1.903010735,206.7369464,4,0.099556829200000002
AB,6,12,GENH,99.99999999,-1.015892052,0.067292158,1.903010735,206.7369464,4,0.099556829200000002
AB,9,1,PICE,7.990651974,-0.935196192,0.940352245,1.374072773,658.35024884999996,33,0.056285975
AB,9,2,PINU,99.99999999,-1.619269195,0.971015869,1.517920318,627.71148980999999,32,0.027183894900000002
AB,9,3,ABIE,26.21988062,-1.786459277,0.998701702,1.118699712,329.0980206,12,0.023461838700000001
AB,9,5,PSEU,99.99999999,-1.680679955,0.983494956,1.066972991,410.79147707999999,11,0.013809396
AB,9,6,LARI,2.787784403,-2.108897833,1.107940282,1.205519184,199.53544905999999,21,0.119690446
AB,9,8,GENC,225.2787117,-1.917835486,0.991069849,1.529353818,658.35024884999996,33,0.015078107300000001
AB,9,9,POPU,26.6229837,-1.239799553,0.955937641,1.768822527,636.05529768999997,29,0.026182720699999999
AB,9,10,BETU,99.99999999,-1.015892052,0.067292158,1.903010735,206.7369464,4,0.099556829200000002
AB,9,11,ACER,99.99999999,-1.015892052,0.067292158,1.903010735,206.7369464,4,0.099556829200000002
AB,9,12,GENH,99.99999999,-1.015892052,0.067292158,1.903010735,206.7369464,4,0.099556829200000002
