juris_id,ecozone,canfi_species,genus,species,variety,vol_min,vol_max,p_sw_low,p_sb_low,p_br_low,p_fl_low,p_sw_high,p_sb_high,p_br_high,p_fl_high
AB,4,100,PICE,SPP,,70.3375493890,509.0407220600,0.7255332831,0.0991667740,0.0543658345,0.1209341084,0.7996138148,0.0980255217,0.0332314346,0.0691292289
AB,4,101,PICE,MAR,,0.2106787703,27.4842565270,0.6762233703,0.1258678241,0.0683296011,0.1295792045,0.7316978750,0.1196303021,0.0604382620,0.0882335610
AB,4,105,PICE,GLA,,70.3375493890,509.0407220600,0.7255332831,0.0991667740,0.0543658345,0.1209341084,0.7996138148,0.0980255217,0.0332314346,0.0691292289
AB,4,200,PINU,SPP,,82.9549986840,322.9076603000,0.7404331073,0.1050664544,0.0967501459,0.0577502923,0.7892955040,0.1017202207,0.0575720962,0.0514121791
AB,4,203,PINU,BAN,,82.9549986840,322.9076603000,0.7404331073,0.1050664544,0.0967501459,0.0577502923,0.7892955040,0.1017202207,0.0575720962,0.0514121791
AB,4,204,PINU,CON,,82.9549986840,322.9076603000,0.7404331073,0.1050664544,0.0967501459,0.0577502923,0.7892955040,0.1017202207,0.0575720962,0.0514121791
AB,4,204,PINU,CON,LAT,82.9549986840,322.9076603000,0.7404331073,0.1050664544,0.0967501459,0.0577502923,0.7892955040,0.1017202207,0.0575720962,0.0514121791
AB,4,206,PINU,ALB,,4.3107879824,377.8951371800,0.7047488996,0.1092339228,0.0904106209,0.0956065568,0.7439867515,0.0779236230,0.1073246481,0.0707649774
AB,4,216,PINU,MUR,,82.9549986840,322.9076603000,0.7404331073,0.1050664544,0.0967501459,0.0577502923,0.7892955040,0.1017202207,0.0575720962,0.0514121791
AB,4,300,ABIE,SPP,,7.7850465269,423.8033026900,0.4648997067,0.0944670605,0.2902372235,0.1503960093,0.6930521241,0.1041264808,0.1299263125,0.0728950826
AB,4,302,ABIE,BAL,,7.7850465269,423.8033026900,0.4648997067,0.0944670605,0.2902372235,0.1503960093,0.6930521241,0.1041264808,0.1299263125,0.0728950826
AB,4,500,PSEU,MEN,,127.4540405100,477.8754813200,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
