juris_id, ecozone,canfi_spec,genus,species,variety,biom_min,biom_max,p_sw_low,p_sb_low,p_br_low,p_fl_low,p_sw_high,p_sb_high,p_br_high,p_fl_high
AB,4,100,PICE,SPP,,71.649029053,247.57519207,0.7641266347,0.0949267253,0.0519218734,0.0890247665,0.7883931485,0.1062283824,0.036980342,0.0683981271
AB,4,101,PICE,MAR,,1.0972436189,26.809650324,0.6665404619,0.1232260514,0.0814872488,0.1287462379,0.7329181112,0.1193911702,0.0605660012,0.0871247174
AB,4,105,PICE,GLA,,71.649029053,247.57519207,0.7641266347,0.0949267253,0.0519218734,0.0890247665,0.7883931485,0.1062283824,0.036980342,0.0683981271
AB,4,200,PINU,SPP,,89.450247833,180.99794078,0.7647191468,0.0944005448,0.0847995519,0.0560807565,0.7912332411,0.1027681444,0.0548413757,0.0511572389
AB,4,203,PINU,BAN,,89.450247833,180.99794078,0.7647191468,0.0944005448,0.0847995519,0.0560807565,0.7912332411,0.1027681444,0.0548413757,0.0511572389
AB,4,204,PINU,CON,,89.450247833,180.99794078,0.7647191468,0.0944005448,0.0847995519,0.0560807565,0.7912332411,0.1027681444,0.0548413757,0.0511572389
AB,4,204,PINU,CON,LAT,89.450247833,180.99794078,0.7647191468,0.0944005448,0.0847995519,0.0560807565,0.7912332411,0.1027681444,0.0548413757,0.0511572389
AB,4,206,PINU,ALB,,6.4805878967,237.94618112,0.6413849143,0.1302929662,0.0892126593,0.1391094602,0.7579460328,0.0808881048,0.0938522707,0.0673135917
AB,4,216,PINU,MUR,,89.450247833,180.99794078,0.7647191468,0.0944005448,0.0847995519,0.0560807565,0.7912332411,0.1027681444,0.0548413757,0.0511572389
AB,4,300,ABIE,SPP,,5.5425351666,243.69303566,0.4395416363,0.092338489,0.3004102482,0.1677096265,0.671174762,0.1036722434,0.1426014744,0.0825515203
AB,4,302,ABIE,BAL,,5.5425351666,243.69303566,0.4395416363,0.092338489,0.3004102482,0.1677096265,0.671174762,0.1036722434,0.1426014744,0.0825515203
AB,4,500,PSEU,MEN,,89.814394884,343.85513848,0.6113073523,0.0981024639,0.1557100307,0.1348801532,0.6195675055,0.1131467326,0.1633574392,0.1039283227
AB,4,500,PSEU,MEN,MEN,89.814394884,343.85513848,0.6113073523,0.0981024639,0.1557100307,0.1348801532,0.6195675055,0.1131467326,0.1633574392,0.1039283227
AB,4,500,PSEU,MEN,GLA,89.814394884,343.85513848,0.6113073523,0.0981024639,0.1557100307,0.1348801532,0.6195675055,0.1131467326,0.1633574392,0.1039283227
AB,4,500,PSEU,SPP,,89.814394884,343.85513848,0.6113073523,0.0981024639,0.1557100307,0.1348801532,0.6195675055,0.1131467326,0.1633574392,0.1039283227
AB,4,600,LARI,SPP,,1.5912139597,149.79943508,0.5564740141,0.1207017078,0.232195112,0.0906291661,0.7319691682,0.1120878226,0.1179429507,0.0380000585
AB,4,601,LARI,DEC,,1.5912139597,149.79943508,0.5564740141,0.1207017078,0.232195112,0.0906291661,0.7319691682,0.1120878226,0.1179429507,0.0380000585
AB,4,602,LARI,LAR,,1.5912139597,149.79943508,0.5564740141,0.1207017078,0.232195112,0.0906291661,0.7319691682,0.1120878226,0.1179429507,0.0380000585
AB,4,603,LARI,OCC,,3.1504687193,493.39478854,0.7117250475,0.0856811328,0.1213658011,0.0812280186,0.7481475276,0.1147691197,0.0899382099,0.0471451428
