juris_id,ecozone,canfi_genus,a,b,c,k,volmin
AB,4,1,0.9765115425,-0.0094378780,1.8447323750,-0.0010000100,8.5000000000
AB,4,2,0.9479643884,-0.0158258810,5.3335134777,-0.0010000100,31.5000000000
AB,4,3,0.8951729703,-0.0235607320,3.5600499911,-0.0010000100,12.5000000000
AB,4,5,0.9407849633,-0.0165236740,9.1465686111,-0.0010000100,52.0000000000
AB,4,6,0.5689117495,-0.0148433310,1.1697704321,-0.0010000100,2.5000000000
AB,4,9,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,10,1.0120986729,-0.0132578450,2.9573579372,-0.0010000100,15.5000000000
AB,4,11,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,12,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,121,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,122,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,123,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,124,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,125,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,126,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,127,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,128,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,129,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,130,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,131,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,132,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,133,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,134,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,135,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,136,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,137,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,138,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,139,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,140,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,141,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,142,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,143,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,144,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,145,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,146,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,147,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,148,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,149,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,150,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,151,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,152,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,153,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,154,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,4,155,1.0199999900,-0.0269458190,39.3929670580,-0.1164807720,110.0000000000
AB,5,1,0.9827554114,-0.0101179390,3.3599020428,-0.0010000100,25.5000000000
AB,5,2,1.0189023150,-0.0067347970,1.7027184139,-0.0010000100,9.5000000000
AB,5,3,0.8951729703,-0.0235607320,3.5600499911,-0.0010000100,12.5000000000
AB,5,6,0.5689117495,-0.0148433310,1.1697704321,-0.0010000100,2.5000000000
AB,5,9,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,10,1.0120986729,-0.0132578450,2.9573579372,-0.0010000100,15.5000000000
AB,5,11,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,12,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,121,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,122,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,123,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,124,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,125,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,126,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,127,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,128,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,129,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,130,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,131,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,132,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,133,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,134,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,135,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,136,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,137,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,138,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,139,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,140,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,141,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,142,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,143,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,144,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,145,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,146,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,147,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,148,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,149,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,150,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,151,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,152,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,153,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,154,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,5,155,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,1,0.9827554114,-0.0101179390,3.3599020428,-0.0010000100,25.5000000000
AB,6,2,1.0189023150,-0.0067347970,1.7027184139,-0.0010000100,9.5000000000
AB,6,3,0.8951729703,-0.0235607320,3.5600499911,-0.0010000100,12.5000000000
AB,6,5,0.9407849633,-0.0165236740,9.1465686111,-0.0010000100,52.0000000000
AB,6,6,0.5689117495,-0.0148433310,1.1697704321,-0.0010000100,2.5000000000
AB,6,9,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,10,1.0120986729,-0.0132578450,2.9573579372,-0.0010000100,15.5000000000
AB,6,11,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,12,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,121,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
AB,6,122,1.0199999900,-0.0076709850,1.5722484875,-0.0010000100,6.5000000000
