jurisdiction,species_original,species_nfi,table_id,model_component,region_type,region,parameter,value
MB,White spruce,PICE.GLA,Table 24,dib_dob_eq11,ecozone,Boreal Plain,MSE,0.04095
MB,White spruce,PICE.GLA,Table 24,dib_dob_eq11,ecozone,Boreal Plain,R2,0.999647
MB,White spruce,PICE.GLA,Table 24,dib_dob_eq11,ecozone,Boreal Plain,a,0.48676
MB,White spruce,PICE.GLA,Table 24,dib_dob_eq11,ecozone,Boreal Plain,b,1.02212
MB,White spruce,PICE.GLA,Table 24,dib_dob_eq11,ecozone,Boreal Plain,n,1452.0
MB,White spruce,PICE.GLA,Table 24,dib_dob_eq11,ecozone,Boreal Shield,MSE,0.033366
MB,White spruce,PICE.GLA,Table 24,dib_dob_eq11,ecozone,Boreal Shield,R2,0.999648
MB,White spruce,PICE.GLA,Table 24,dib_dob_eq11,ecozone,Boreal Shield,a,0.39517
MB,White spruce,PICE.GLA,Table 24,dib_dob_eq11,ecozone,Boreal Shield,b,1.02486
MB,White spruce,PICE.GLA,Table 24,dib_dob_eq11,ecozone,Boreal Shield,n,708.0
MB,White spruce,PICE.GLA,Table 24,dib_dob_eq11,province,Provincial,MSE,0.039138
MB,White spruce,PICE.GLA,Table 24,dib_dob_eq11,province,Provincial,R2,0.999647
MB,White spruce,PICE.GLA,Table 24,dib_dob_eq11,province,Provincial,a,0.45216
MB,White spruce,PICE.GLA,Table 24,dib_dob_eq11,province,Provincial,b,1.0232
MB,White spruce,PICE.GLA,Table 24,dib_dob_eq11,province,Provincial,n,2160.0
MB,White spruce,PICE.GLA,Table 24,height_dbh_eq15,ecozone,Boreal Plain,MSE,0.187331
MB,White spruce,PICE.GLA,Table 24,height_dbh_eq15,ecozone,Boreal Plain,R2,0.79984
MB,White spruce,PICE.GLA,Table 24,height_dbh_eq15,ecozone,Boreal Plain,a,34.605
MB,White spruce,PICE.GLA,Table 24,height_dbh_eq15,ecozone,Boreal Plain,b,0.0408
MB,White spruce,PICE.GLA,Table 24,height_dbh_eq15,ecozone,Boreal Plain,c,1.3985
MB,White spruce,PICE.GLA,Table 24,height_dbh_eq15,ecozone,Boreal Plain,n,64.0
MB,White spruce,PICE.GLA,Table 24,height_dbh_eq15,ecozone,Boreal Shield,MSE,0.197207
MB,White spruce,PICE.GLA,Table 24,height_dbh_eq15,ecozone,Boreal Shield,R2,0.707113
MB,White spruce,PICE.GLA,Table 24,height_dbh_eq15,ecozone,Boreal Shield,a,23.0868
MB,White spruce,PICE.GLA,Table 24,height_dbh_eq15,ecozone,Boreal Shield,b,0.0863
MB,White spruce,PICE.GLA,Table 24,height_dbh_eq15,ecozone,Boreal Shield,c,2.0248
MB,White spruce,PICE.GLA,Table 24,height_dbh_eq15,ecozone,Boreal Shield,n,33.0
MB,White spruce,PICE.GLA,Table 24,height_dbh_eq15,province,Provincial,MSE,0.194689
MB,White spruce,PICE.GLA,Table 24,height_dbh_eq15,province,Provincial,R2,0.779316
MB,White spruce,PICE.GLA,Table 24,height_dbh_eq15,province,Provincial,a,38.0155
MB,White spruce,PICE.GLA,Table 24,height_dbh_eq15,province,Provincial,b,0.0291
MB,White spruce,PICE.GLA,Table 24,height_dbh_eq15,province,Provincial,c,1.1104
MB,White spruce,PICE.GLA,Table 24,height_dbh_eq15,province,Provincial,n,97.0
MB,White spruce,PICE.GLA,Table 24,stumpdob_dbh_eq18,ecozone,Boreal Plain,MSE,0.017873
MB,White spruce,PICE.GLA,Table 24,stumpdob_dbh_eq18,ecozone,Boreal Plain,R2,0.999734
MB,White spruce,PICE.GLA,Table 24,stumpdob_dbh_eq18,ecozone,Boreal Plain,a,-1.3506
MB,White spruce,PICE.GLA,Table 24,stumpdob_dbh_eq18,ecozone,Boreal Plain,b,1.2791
MB,White spruce,PICE.GLA,Table 24,stumpdob_dbh_eq18,ecozone,Boreal Plain,c,-0.00324
MB,White spruce,PICE.GLA,Table 24,stumpdob_dbh_eq18,ecozone,Boreal Plain,n,64.0
MB,White spruce,PICE.GLA,Table 24,stumpdob_dbh_eq18,ecozone,Boreal Shield,MSE,0.013431
MB,White spruce,PICE.GLA,Table 24,stumpdob_dbh_eq18,ecozone,Boreal Shield,R2,0.999786
MB,White spruce,PICE.GLA,Table 24,stumpdob_dbh_eq18,ecozone,Boreal Shield,a,-1.7114
MB,White spruce,PICE.GLA,Table 24,stumpdob_dbh_eq18,ecozone,Boreal Shield,b,1.2886
MB,White spruce,PICE.GLA,Table 24,stumpdob_dbh_eq18,ecozone,Boreal Shield,c,-0.00272
MB,White spruce,PICE.GLA,Table 24,stumpdob_dbh_eq18,ecozone,Boreal Shield,n,33.0
