source_page,species,bec_zone,n_sample,a0,a1,a2,b0,b1,b2,b3,b4,b5,b6,log_bias_factor
20,Cottonwood,AT,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Cottonwood,BWBS,585,0.926472,1.0234,0.999683,121.365,-272.245,245.769,-93.7767,-68.6078,-0.501805,-6.626e-4,1.0045
20,Cottonwood,CDF,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Cottonwood,ESSF,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Cottonwood,ICH(BWBS),94,0.926472,1.0234,0.999683,121.365,-272.245,245.769,-93.7767,-68.6078,-0.501805,-6.626e-4,1.0045
20,Cottonwood,IDF,170,0.672378,1.14936,0.997229,73.7112,-133.272,103.874,-43.1983,-42.9684,-0.521101,7.771e-4,1.0063
20,Cottonwood,MH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Cottonwood,PP,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Cottonwood,SBPS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Cottonwood,SBS(BWBS),38,0.866667,1.04901,0.99911,121.991,-272.272,244.953,-93.5542,-68.9797,-0.515927,-4.639e-4,1.0048
20,Cottonwood,SWB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Aspen,AT,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Aspen,BWBS,1784,0.984285,1.0262,1.000662,244.333,-634.98,615.071,-223.241,-134.011,-0.579394,-0.0017905,1.0049
20,Aspen,CDF,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Aspen,CWH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Aspen,ESSF,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Aspen,ICH(SBS),42,1.135583,0.995001,0.999269,252.892,-692.263,683.244,-242.849,-136.648,-0.266482,-0.0028238,1.0051
20,Aspen,IDF(SBS),99,1.173494,0.985894,0.999232,251.359,-691.926,683.907,-242.329,135.512,-0.235648,-0.0028343,1.0054
20,Aspen,MH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Aspen,MS,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Aspen,PP,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Aspen,SBPS,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Aspen,SBS,843,1.144134,0.993345,0.999225,257.022,-704.738,696.002,-247.255,-138.822,-0.264349,0.0029968,1.0051
20,Aspen,SWB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Balsam,AT(SWB),39,0.842384,1.12342,0.996431,57.1094,-187.239,190.252,-59.1956,-26.8082,-0.717891,0.0047995,1.0033
21,Balsam,BWBS,310,0.704739,1.20819,0.992804,29.7369,-113.372,116.252,-31.6991,-11.5688,-0.579792,0.0017341,1.0031
21,Balsam,CDF,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Balsam,CWH,2325,1.192696,0.981241,0.99992,61.7178,-219.227,226.679,-68.4199,-27.8855,348434,0.0011933,1.005
