district,t,a,b,c,d,e,nv_a,nv_b,nv_c
2,-999,262.322,22922.7,0.974644,-0.132053,-0.297085,0.983241,-0.226207,-0.204599
4,-999,437.8,24897,0.98018,-0.1585,-0.2708,0.6884,1.2318,-2.0652
5,-999,539.47,21248.6,0.974823,-0.123923,-0.216385,0.679888,1.26481,-1.92435
6,-999,-137.705,29503.7,0.965777,-0.00124,-0.423416,0.698104,1.119163,-1.829755
7,-999,-137.705,29503.7,0.965777,-0.00124,-0.423416,0.698104,1.119163,-1.829755
8,-999,539.47,21248.6,0.974824,-0.123923,-0.216385,0.679888,1.26481,-1.92435
9,-999,422.533,22409,0.980294,-0.171247,-0.238653,0.979256,-1.086146,1.145851
10,-999,223.389,25844.6,0.971973,-0.079675,-0.384698,0.582519,2.140849,-3.303438
11,-999,-250.162,32290.9,0.908867,0.502039,-1.654068,0.995985,-0.211412,-0.689281
12,-999,223.389,25844.6,0.971973,-0.079675,-0.384698,0.582519,2.140849,-3.303438
13,-999,118.5,27712,0.95605,0.00014,-0.487,0.54449,1.7336,-2.4493
14,-999,341.891,23397.3,0.982777,-0.251265,-0.061656,0.960489,-0.27486,0.712432
15,-999,355.127,23577.2,0.979869,-0.149891,-0.270167,0.960812,-0.27486,0.712432
16,-999,976.679,19124.8,0.975378,-0.269972,-0.117096,0.978513,-0.680124,0.664771
17,-999,363.236,28987.6,0.978818,-0.214649,-0.234138,0.809946,1.341591,-3.12522
18,-999,316.467,30434.1,0.977993,-0.19425,-0.434036,0.980479,-0.257869,-0.383703
19,-999,631.598,23697.4,0.984417,-0.212482,-0.184066,0.787487,0.346134,-0.676701
