"Species","parameter","estimate","NaturalSubregionNum","NaturalSubregionCode","Subregion"
"UNKN.SWD","a0",0.858012,"2","DMW","DMW"
"UNKN.SWD","a0",0.858012,"15","PRP","PRP"
"UNKN.SWD","a0",0.858012,"16","CP","CP"
"UNKN.SWD","a0",0.864073,"9","M","M"
"UNKN.SWD","a0",0.864073,"11","LF","LF"
"UNKN.SWD","a0",0.864073,"14","FP","FP"
"UNKN.SWD","a0",0.836332,"7","ALP","ALP"
"UNKN.SWD","a0",0.836332,"8","SA","SA"
"UNKN.SWD","a0",0.836332,"10","UF","UF"
"UNKN.SWD","a0",0.907541,"1","CM","CM"
"UNKN.SWD","a0",0.907541,"3","NM","NM"
"UNKN.SWD","a0",0.907541,"4","BSA","BSA"
"UNKN.SWD","a0",0.907541,"5","PAD","PAD"
"UNKN.SWD","a0",0.907541,"6","LBH","LBH"
"UNKN.SWD","a0",0.907541,"12","AP","AP"
"UNKN.SWD","a0",0.907541,"13","KU","KU"
"UNKN.SWD","a1",0.994667,"2","DMW","DMW"
"UNKN.SWD","a1",0.994667,"15","PRP","PRP"
"UNKN.SWD","a1",0.994667,"16","CP","CP"
"UNKN.SWD","a1",1.000696,"9","M","M"
"UNKN.SWD","a1",1.000696,"11","LF","LF"
"UNKN.SWD","a1",1.000696,"14","FP","FP"
"UNKN.SWD","a1",1.023299,"7","ALP","ALP"
"UNKN.SWD","a1",1.023299,"8","SA","SA"
"UNKN.SWD","a1",1.023299,"10","UF","UF"
"UNKN.SWD","a1",0.972889,"1","CM","CM"
"UNKN.SWD","a1",0.972889,"3","NM","NM"
"UNKN.SWD","a1",0.972889,"4","BSA","BSA"
"UNKN.SWD","a1",0.972889,"5","PAD","PAD"
"UNKN.SWD","a1",0.972889,"6","LBH","LBH"
"UNKN.SWD","a1",0.972889,"12","AP","AP"
"UNKN.SWD","a1",0.972889,"13","KU","KU"
"UNKN.SWD","a2",0.998503,"2","DMW","DMW"
"UNKN.SWD","a2",0.998503,"15","PRP","PRP"
"UNKN.SWD","a2",0.998503,"16","CP","CP"
"UNKN.SWD","a2",0.998194,"9","M","M"
"UNKN.SWD","a2",0.998194,"11","LF","LF"
"UNKN.SWD","a2",0.998194,"14","FP","FP"
"UNKN.SWD","a2",0.996897,"7","ALP","ALP"
"UNKN.SWD","a2",0.996897,"8","SA","SA"
"UNKN.SWD","a2",0.996897,"10","UF","UF"
"UNKN.SWD","a2",0.999056,"1","CM","CM"
"UNKN.SWD","a2",0.999056,"3","NM","NM"
"UNKN.SWD","a2",0.999056,"4","BSA","BSA"
"UNKN.SWD","a2",0.999056,"5","PAD","PAD"
"UNKN.SWD","a2",0.999056,"6","LBH","LBH"
"UNKN.SWD","a2",0.999056,"12","AP","AP"
"UNKN.SWD","a2",0.999056,"13","KU","KU"
"UNKN.SWD","b1",0.957817,"2","DMW","DMW"
"UNKN.SWD","b1",0.957817,"15","PRP","PRP"
"UNKN.SWD","b1",0.957817,"16","CP","CP"
"UNKN.SWD","b1",1.089652,"9","M","M"
"UNKN.SWD","b1",1.089652,"11","LF","LF"
"UNKN.SWD","b1",1.089652,"14","FP","FP"
"UNKN.SWD","b1",1.142097,"7","ALP","ALP"
"UNKN.SWD","b1",1.142097,"8","SA","SA"
"UNKN.SWD","b1",1.142097,"10","UF","UF"
"UNKN.SWD","b1",0.838891,"1","CM","CM"
"UNKN.SWD","b1",0.838891,"3","NM","NM"
"UNKN.SWD","b1",0.838891,"4","BSA","BSA"
"UNKN.SWD","b1",0.838891,"5","PAD","PAD"
"UNKN.SWD","b1",0.838891,"6","LBH","LBH"
"UNKN.SWD","b1",0.838891,"12","AP","AP"
"UNKN.SWD","b1",0.838891,"13","KU","KU"
"UNKN.SWD","b2",-0.22815,"2","DMW","DMW"
"UNKN.SWD","b2",-0.22815,"15","PRP","PRP"
"UNKN.SWD","b2",-0.22815,"16","CP","CP"
"UNKN.SWD","b2",-0.224349,"9","M","M"
"UNKN.SWD","b2",-0.224349,"11","LF","LF"
"UNKN.SWD","b2",-0.224349,"14","FP","FP"
"UNKN.SWD","b2",-0.253295,"7","ALP","ALP"
"UNKN.SWD","b2",-0.253295,"8","SA","SA"
"UNKN.SWD","b2",-0.253295,"10","UF","UF"
"UNKN.SWD","b2",-0.227784,"1","CM","CM"
"UNKN.SWD","b2",-0.227784,"3","NM","NM"
"UNKN.SWD","b2",-0.227784,"4","BSA","BSA"
"UNKN.SWD","b2",-0.227784,"5","PAD","PAD"
"UNKN.SWD","b2",-0.227784,"6","LBH","LBH"
"UNKN.SWD","b2",-0.227784,"12","AP","AP"
"UNKN.SWD","b2",-0.227784,"13","KU","KU"
"UNKN.SWD","b3",1.696453,"2","DMW","DMW"
"UNKN.SWD","b3",1.696453,"15","PRP","PRP"
"UNKN.SWD","b3",1.696453,"16","CP","CP"
"UNKN.SWD","b3",1.584261,"9","M","M"
"UNKN.SWD","b3",1.584261,"11","LF","LF"
"UNKN.SWD","b3",1.584261,"14","FP","FP"
"UNKN.SWD","b3",1.834277,"7","ALP","ALP"
"UNKN.SWD","b3",1.834277,"8","SA","SA"
"UNKN.SWD","b3",1.834277,"10","UF","UF"
"UNKN.SWD","b3",1.620364,"1","CM","CM"
"UNKN.SWD","b3",1.620364,"3","NM","NM"
"UNKN.SWD","b3",1.620364,"4","BSA","BSA"
"UNKN.SWD","b3",1.620364,"5","PAD","PAD"
"UNKN.SWD","b3",1.620364,"6","LBH","LBH"
"UNKN.SWD","b3",1.620364,"12","AP","AP"
"UNKN.SWD","b3",1.620364,"13","KU","KU"
"UNKN.SWD","b4",-0.788021,"2","DMW","DMW"
"UNKN.SWD","b4",-0.788021,"15","PRP","PRP"
"UNKN.SWD","b4",-0.788021,"16","CP","CP"
"UNKN.SWD","b4",-0.813796,"9","M","M"
"UNKN.SWD","b4",-0.813796,"11","LF","LF"
"UNKN.SWD","b4",-0.813796,"14","FP","FP"
"UNKN.SWD","b4",-0.914346,"7","ALP","ALP"
"UNKN.SWD","b4",-0.914346,"8","SA","SA"
"UNKN.SWD","b4",-0.914346,"10","UF","UF"
"UNKN.SWD","b4",-0.686296,"1","CM","CM"
"UNKN.SWD","b4",-0.686296,"3","NM","NM"
"UNKN.SWD","b4",-0.686296,"4","BSA","BSA"
"UNKN.SWD","b4",-0.686296,"5","PAD","PAD"
"UNKN.SWD","b4",-0.686296,"6","LBH","LBH"
"UNKN.SWD","b4",-0.686296,"12","AP","AP"
"UNKN.SWD","b4",-0.686296,"13","KU","KU"
"UNKN.SWD","b5",0.142355,"2","DMW","DMW"
"UNKN.SWD","b5",0.142355,"15","PRP","PRP"
"UNKN.SWD","b5",0.142355,"16","CP","CP"
"UNKN.SWD","b5",0.165997,"9","M","M"
"UNKN.SWD","b5",0.165997,"11","LF","LF"
"UNKN.SWD","b5",0.165997,"14","FP","FP"
"UNKN.SWD","b5",0.121166,"7","ALP","ALP"
"UNKN.SWD","b5",0.121166,"8","SA","SA"
"UNKN.SWD","b5",0.121166,"10","UF","UF"
"UNKN.SWD","b5",0.065843,"1","CM","CM"
"UNKN.SWD","b5",0.065843,"3","NM","NM"
"UNKN.SWD","b5",0.065843,"4","BSA","BSA"
"UNKN.SWD","b5",0.065843,"5","PAD","PAD"
"UNKN.SWD","b5",0.065843,"6","LBH","LBH"
"UNKN.SWD","b5",0.065843,"12","AP","AP"
"UNKN.SWD","b5",0.065843,"13","KU","KU"
"UNKN.HWD","a0",0.986975,"2","DMW","DMW"
"UNKN.HWD","a0",0.986975,"14","FP","FP"
"UNKN.HWD","a0",0.986975,"15","PRP","PRP"
"UNKN.HWD","a0",0.986975,"16","CP","CP"
"UNKN.HWD","a0",0.875806,"9","M","M"
"UNKN.HWD","a0",0.875806,"11","LF","LF"
"UNKN.HWD","a0",0.553873,"7","ALP","ALP"
"UNKN.HWD","a0",0.553873,"8","SA","SA"
"UNKN.HWD","a0",0.553873,"10","UF","UF"
"UNKN.HWD","a0",0.850133,"1","CM","CM"
"UNKN.HWD","a0",0.850133,"3","NM","NM"
"UNKN.HWD","a0",0.850133,"4","BSA","BSA"
"UNKN.HWD","a0",0.850133,"5","PAD","PAD"
"UNKN.HWD","a0",0.850133,"6","LBH","LBH"
"UNKN.HWD","a0",0.850133,"12","AP","AP"
"UNKN.HWD","a0",0.850133,"13","KU","KU"
"UNKN.HWD","a1",0.908801,"2","DMW","DMW"
"UNKN.HWD","a1",0.908801,"14","FP","FP"
"UNKN.HWD","a1",0.908801,"15","PRP","PRP"
"UNKN.HWD","a1",0.908801,"16","CP","CP"
"UNKN.HWD","a1",0.974791,"9","M","M"
"UNKN.HWD","a1",0.974791,"11","LF","LF"
"UNKN.HWD","a1",1.182243,"7","ALP","ALP"
"UNKN.HWD","a1",1.182243,"8","SA","SA"
"UNKN.HWD","a1",1.182243,"10","UF","UF"
"UNKN.HWD","a1",0.991087,"1","CM","CM"
"UNKN.HWD","a1",0.991087,"3","NM","NM"
"UNKN.HWD","a1",0.991087,"4","BSA","BSA"
"UNKN.HWD","a1",0.991087,"5","PAD","PAD"
"UNKN.HWD","a1",0.991087,"6","LBH","LBH"
"UNKN.HWD","a1",0.991087,"12","AP","AP"
"UNKN.HWD","a1",0.991087,"13","KU","KU"
"UNKN.HWD","a2",1.003121,"2","DMW","DMW"
"UNKN.HWD","a2",1.003121,"14","FP","FP"
"UNKN.HWD","a2",1.003121,"15","PRP","PRP"
"UNKN.HWD","a2",1.003121,"16","CP","CP"
"UNKN.HWD","a2",0.999886,"9","M","M"
"UNKN.HWD","a2",0.999886,"11","LF","LF"
"UNKN.HWD","a2",0.991753,"7","ALP","ALP"
"UNKN.HWD","a2",0.991753,"8","SA","SA"
"UNKN.HWD","a2",0.991753,"10","UF","UF"
"UNKN.HWD","a2",0.99875,"1","CM","CM"
"UNKN.HWD","a2",0.99875,"3","NM","NM"
"UNKN.HWD","a2",0.99875,"4","BSA","BSA"
"UNKN.HWD","a2",0.99875,"5","PAD","PAD"
"UNKN.HWD","a2",0.99875,"6","LBH","LBH"
"UNKN.HWD","a2",0.99875,"12","AP","AP"
"UNKN.HWD","a2",0.99875,"13","KU","KU"
"UNKN.HWD","b1",0.628126,"2","DMW","DMW"
"UNKN.HWD","b1",0.628126,"14","FP","FP"
"UNKN.HWD","b1",0.628126,"15","PRP","PRP"
"UNKN.HWD","b1",0.628126,"16","CP","CP"
"UNKN.HWD","b1",0.531879,"9","M","M"
"UNKN.HWD","b1",0.531879,"11","LF","LF"
"UNKN.HWD","b1",0.600794,"7","ALP","ALP"
"UNKN.HWD","b1",0.600794,"8","SA","SA"
"UNKN.HWD","b1",0.600794,"10","UF","UF"
"UNKN.HWD","b1",0.631153,"1","CM","CM"
"UNKN.HWD","b1",0.631153,"3","NM","NM"
"UNKN.HWD","b1",0.631153,"4","BSA","BSA"
"UNKN.HWD","b1",0.631153,"5","PAD","PAD"
"UNKN.HWD","b1",0.631153,"6","LBH","LBH"
"UNKN.HWD","b1",0.631153,"12","AP","AP"
"UNKN.HWD","b1",0.631153,"13","KU","KU"
"UNKN.HWD","b2",-0.06144,"2","DMW","DMW"
"UNKN.HWD","b2",-0.06144,"14","FP","FP"
"UNKN.HWD","b2",-0.06144,"15","PRP","PRP"
"UNKN.HWD","b2",-0.06144,"16","CP","CP"
"UNKN.HWD","b2",-0.04969,"9","M","M"
"UNKN.HWD","b2",-0.04969,"11","LF","LF"
"UNKN.HWD","b2",-0.05839,"7","ALP","ALP"
"UNKN.HWD","b2",-0.05839,"8","SA","SA"
"UNKN.HWD","b2",-0.05839,"10","UF","UF"
"UNKN.HWD","b2",-0.085234,"1","CM","CM"
"UNKN.HWD","b2",-0.085234,"3","NM","NM"
"UNKN.HWD","b2",-0.085234,"4","BSA","BSA"
"UNKN.HWD","b2",-0.085234,"5","PAD","PAD"
"UNKN.HWD","b2",-0.085234,"6","LBH","LBH"
"UNKN.HWD","b2",-0.085234,"12","AP","AP"
"UNKN.HWD","b2",-0.085234,"13","KU","KU"
"UNKN.HWD","b3",-0.034635,"2","DMW","DMW"
"UNKN.HWD","b3",-0.034635,"14","FP","FP"
"UNKN.HWD","b3",-0.034635,"15","PRP","PRP"
"UNKN.HWD","b3",-0.034635,"16","CP","CP"
"UNKN.HWD","b3",-0.290443,"9","M","M"
"UNKN.HWD","b3",-0.290443,"11","LF","LF"
"UNKN.HWD","b3",-0.222472,"7","ALP","ALP"
"UNKN.HWD","b3",-0.222472,"8","SA","SA"
"UNKN.HWD","b3",-0.222472,"10","UF","UF"
"UNKN.HWD","b3",-0.067347,"1","CM","CM"
"UNKN.HWD","b3",-0.067347,"3","NM","NM"
"UNKN.HWD","b3",-0.067347,"4","BSA","BSA"
"UNKN.HWD","b3",-0.067347,"5","PAD","PAD"
"UNKN.HWD","b3",-0.067347,"6","LBH","LBH"
"UNKN.HWD","b3",-0.067347,"12","AP","AP"
"UNKN.HWD","b3",-0.067347,"13","KU","KU"
"UNKN.HWD","b4",0.049512,"2","DMW","DMW"
"UNKN.HWD","b4",0.049512,"14","FP","FP"
"UNKN.HWD","b4",0.049512,"15","PRP","PRP"
"UNKN.HWD","b4",0.049512,"16","CP","CP"
"UNKN.HWD","b4",0.184209,"9","M","M"
"UNKN.HWD","b4",0.184209,"11","LF","LF"
"UNKN.HWD","b4",0.113434,"7","ALP","ALP"
"UNKN.HWD","b4",0.113434,"8","SA","SA"
"UNKN.HWD","b4",0.113434,"10","UF","UF"
"UNKN.HWD","b4",0.082414,"1","CM","CM"
"UNKN.HWD","b4",0.082414,"3","NM","NM"
"UNKN.HWD","b4",0.082414,"4","BSA","BSA"
"UNKN.HWD","b4",0.082414,"5","PAD","PAD"
"UNKN.HWD","b4",0.082414,"6","LBH","LBH"
"UNKN.HWD","b4",0.082414,"12","AP","AP"
"UNKN.HWD","b4",0.082414,"13","KU","KU"
"UNKN.HWD","b5",0.105204,"2","DMW","DMW"
"UNKN.HWD","b5",0.105204,"14","FP","FP"
"UNKN.HWD","b5",0.105204,"15","PRP","PRP"
"UNKN.HWD","b5",0.105204,"16","CP","CP"
"UNKN.HWD","b5",0.073231,"9","M","M"
"UNKN.HWD","b5",0.073231,"11","LF","LF"
"UNKN.HWD","b5",0.117909,"7","ALP","ALP"
"UNKN.HWD","b5",0.117909,"8","SA","SA"
"UNKN.HWD","b5",0.117909,"10","UF","UF"
"UNKN.HWD","b5",0.039234,"1","CM","CM"
"UNKN.HWD","b5",0.039234,"3","NM","NM"
"UNKN.HWD","b5",0.039234,"4","BSA","BSA"
"UNKN.HWD","b5",0.039234,"5","PAD","PAD"
"UNKN.HWD","b5",0.039234,"6","LBH","LBH"
"UNKN.HWD","b5",0.039234,"12","AP","AP"
"UNKN.HWD","b5",0.039234,"13","KU","KU"
"PICE.MAR","a0",0.957624,"7","ALP","ALP"
"PICE.MAR","a0",0.957624,"8","SA","SA"
"PICE.MAR","a0",0.957624,"9","M","M"
"PICE.MAR","a0",0.957624,"10","UF","UF"
"PICE.MAR","a0",0.957624,"11","LF","LF"
"PICE.MAR","a0",0.929037,"1","CM","CM"
"PICE.MAR","a0",0.929037,"2","DMW","DMW"
"PICE.MAR","a0",0.929037,"3","NM","NM"
"PICE.MAR","a0",0.929037,"4","BSA","BSA"
"PICE.MAR","a0",0.929037,"5","PAD","PAD"
"PICE.MAR","a0",0.929037,"6","LBH","LBH"
"PICE.MAR","a0",0.929037,"12","AP","AP"
"PICE.MAR","a0",0.929037,"13","KU","KU"
"PICE.MAR","a0",0.929037,"14","FP","FP"
"PICE.MAR","a0",0.929037,"15","PRP","PRP"
"PICE.MAR","a0",0.929037,"16","CP","CP"
"PICE.MAR","a0",0.940695,NA,"Province","Province"
"PICE.MAR","a1",0.94674,"7","ALP","ALP"
"PICE.MAR","a1",0.94674,"8","SA","SA"
"PICE.MAR","a1",0.94674,"9","M","M"
"PICE.MAR","a1",0.94674,"10","UF","UF"
"PICE.MAR","a1",0.94674,"11","LF","LF"
"PICE.MAR","a1",0.967718,"1","CM","CM"
"PICE.MAR","a1",0.967718,"2","DMW","DMW"
"PICE.MAR","a1",0.967718,"3","NM","NM"
"PICE.MAR","a1",0.967718,"4","BSA","BSA"
"PICE.MAR","a1",0.967718,"5","PAD","PAD"
"PICE.MAR","a1",0.967718,"6","LBH","LBH"
"PICE.MAR","a1",0.967718,"12","AP","AP"
"PICE.MAR","a1",0.967718,"13","KU","KU"
"PICE.MAR","a1",0.967718,"14","FP","FP"
"PICE.MAR","a1",0.967718,"15","PRP","PRP"
"PICE.MAR","a1",0.967718,"16","CP","CP"
"PICE.MAR","a1",0.957211,NA,"Province","Province"
"PICE.MAR","a2",1.000452,"7","ALP","ALP"
"PICE.MAR","a2",1.000452,"8","SA","SA"
"PICE.MAR","a2",1.000452,"9","M","M"
"PICE.MAR","a2",1.000452,"10","UF","UF"
"PICE.MAR","a2",1.000452,"11","LF","LF"
"PICE.MAR","a2",0.998511,"1","CM","CM"
"PICE.MAR","a2",0.998511,"2","DMW","DMW"
"PICE.MAR","a2",0.998511,"3","NM","NM"
"PICE.MAR","a2",0.998511,"4","BSA","BSA"
"PICE.MAR","a2",0.998511,"5","PAD","PAD"
"PICE.MAR","a2",0.998511,"6","LBH","LBH"
"PICE.MAR","a2",0.998511,"12","AP","AP"
"PICE.MAR","a2",0.998511,"13","KU","KU"
"PICE.MAR","a2",0.998511,"14","FP","FP"
"PICE.MAR","a2",0.998511,"15","PRP","PRP"
"PICE.MAR","a2",0.998511,"16","CP","CP"
"PICE.MAR","a2",0.99964,NA,"Province","Province"
"PICE.MAR","b1",1.430462,"7","ALP","ALP"
"PICE.MAR","b1",1.430462,"8","SA","SA"
