"species","model","parameter","estimate","stderr"
"ABIE.LAS","DBH","bwood1",0.025036,0.00264
"ABIE.LAS","DBH","bwood2",2.637781,0.0319
"ABIE.LAS","DBH","bbark1",0.006119,0.000664
"ABIE.LAS","DBH","bbark2",2.537534,0.0336
"ABIE.LAS","DBH","bbranches1",0.017837,0.00441
"ABIE.LAS","DBH","bbranches2",2.425492,0.0759
"ABIE.LAS","DBH","bfoliage1",0.041575,0.00812
"ABIE.LAS","DBH","bfoliage2",2.013012,0.061
"ABIE.BAL","DBH","bwood1",0.0534,NA
"ABIE.BAL","DBH","bwood2",2.403,NA
"ABIE.BAL","DBH","bbark1",0.0115,NA
"ABIE.BAL","DBH","bbark2",2.3484,NA
"ABIE.BAL","DBH","bbranches1",0.007,NA
"ABIE.BAL","DBH","bbranches2",2.5406,NA
"ABIE.BAL","DBH","bfoliage1",0.084,NA
"ABIE.BAL","DBH","bfoliage2",1.6695,NA
"POPU.BAL","DBH","bwood1",0.051,NA
"POPU.BAL","DBH","bwood2",2.4529,NA
"POPU.BAL","DBH","bbark1",0.0297,NA
"POPU.BAL","DBH","bbark2",2.1131,NA
"POPU.BAL","DBH","bbranches1",0.012,NA
"POPU.BAL","DBH","bbranches2",2.4165,NA
"POPU.BAL","DBH","bfoliage1",0.0276,NA
"POPU.BAL","DBH","bfoliage2",1.6215,NA
"TILI.AME","DBH","bwood1",0.0562,NA
"TILI.AME","DBH","bwood2",2.4102,NA
"TILI.AME","DBH","bbark1",0.0302,NA
"TILI.AME","DBH","bbark2",2.0976,NA
"TILI.AME","DBH","bbranches1",0.023,NA
"TILI.AME","DBH","bbranches2",2.2382,NA
"TILI.AME","DBH","bfoliage1",0.0288,NA
"TILI.AME","DBH","bfoliage2",1.6378,NA
"FAGU.GRA","DBH","bwood1",0.1478,NA
"FAGU.GRA","DBH","bwood2",2.2986,NA
"FAGU.GRA","DBH","bbark1",0.012,NA
"FAGU.GRA","DBH","bbark2",2.2388,NA
"FAGU.GRA","DBH","bbranches1",0.037,NA
"FAGU.GRA","DBH","bbranches2",2.368,NA
"FAGU.GRA","DBH","bfoliage1",0.0376,NA
"FAGU.GRA","DBH","bfoliage2",1.6164,NA
"FRAX.NIG","DBH","bwood1",0.0941,NA
"FRAX.NIG","DBH","bwood2",2.3491,NA
"FRAX.NIG","DBH","bbark1",0.0323,NA
"FRAX.NIG","DBH","bbark2",2.0761,NA
"FRAX.NIG","DBH","bbranches1",0.0448,NA
"FRAX.NIG","DBH","bbranches2",1.9771,NA
"FRAX.NIG","DBH","bfoliage1",0.0538,NA
"FRAX.NIG","DBH","bfoliage2",1.3584,NA
"PRUN.SER","DBH","bwood1",0.3743,NA
"PRUN.SER","DBH","bwood2",1.9406,NA
"PRUN.SER","DBH","bbark1",0.0679,NA
"PRUN.SER","DBH","bbark2",1.8377,NA
"PRUN.SER","DBH","bbranches1",0.0796,NA
"PRUN.SER","DBH","bbranches2",2.0103,NA
"PRUN.SER","DBH","bfoliage1",0.084,NA
"PRUN.SER","DBH","bfoliage2",1.2319,NA
"PICE.MAR","DBH","bwood1",0.0494,0.0012
"PICE.MAR","DBH","bwood2",2.5025,0.0083
"PICE.MAR","DBH","bbark1",0.0148,4e-04
"PICE.MAR","DBH","bbark2",2.2494,0.01
"PICE.MAR","DBH","bbranches1",0.0291,0.0019
"PICE.MAR","DBH","bbranches2",2.0751,0.0238
"PICE.MAR","DBH","bfoliage1",0.1631,0.0083
"PICE.MAR","DBH","bfoliage2",1.4222,0.02
"TSUG.CAN","DBH","bwood1",0.0619,NA
"TSUG.CAN","DBH","bwood2",2.3821,NA
"TSUG.CAN","DBH","bbark1",0.0139,NA
"TSUG.CAN","DBH","bbark2",2.3282,NA
"TSUG.CAN","DBH","bbranches1",0.0217,NA
"TSUG.CAN","DBH","bbranches2",2.2653,NA
"TSUG.CAN","DBH","bfoliage1",0.0776,NA
"TSUG.CAN","DBH","bfoliage2",1.6995,NA
"JUNI.VIR","DBH","bwood1",0.1277,NA
"JUNI.VIR","DBH","bwood2",1.9778,NA
"JUNI.VIR","DBH","bbark1",0.0377,NA
"JUNI.VIR","DBH","bbark2",1.6064,NA
"JUNI.VIR","DBH","bbranches1",0.0254,NA
"JUNI.VIR","DBH","bbranches2",2.2884,NA
"JUNI.VIR","DBH","bfoliage1",0.055,NA
"JUNI.VIR","DBH","bfoliage2",1.8656,NA
"THUJ.OCC","DBH","bwood1",0.0654,NA
"THUJ.OCC","DBH","bwood2",2.2121,NA
"THUJ.OCC","DBH","bbark1",0.0114,NA
"THUJ.OCC","DBH","bbark2",2.1432,NA
"THUJ.OCC","DBH","bbranches1",0.0335,NA
"THUJ.OCC","DBH","bbranches2",1.9367,NA
"THUJ.OCC","DBH","bfoliage1",0.0499,NA
"THUJ.OCC","DBH","bfoliage2",1.7278,NA
"PINU.STR","DBH","bwood1",0.0997,NA
"PINU.STR","DBH","bwood2",2.2709,NA
"PINU.STR","DBH","bbark1",0.0192,NA
"PINU.STR","DBH","bbark2",2.2038,NA
"PINU.STR","DBH","bbranches1",0.0056,NA
"PINU.STR","DBH","bbranches2",2.6011,NA
"PINU.STR","DBH","bfoliage1",0.0284,NA
"PINU.STR","DBH","bfoliage2",1.9375,NA
"BETU.POP","DBH","bwood1",0.072,NA
"BETU.POP","DBH","bwood2",2.3885,NA
"BETU.POP","DBH","bbark1",0.0168,NA
"BETU.POP","DBH","bbark2",2.2569,NA
"BETU.POP","DBH","bbranches1",0.0088,NA
"BETU.POP","DBH","bbranches2",2.5689,NA
"BETU.POP","DBH","bfoliage1",0.0099,NA
"BETU.POP","DBH","bfoliage2",1.8985,NA
"CARY.SPP","DBH","bwood1",0.2116,NA
"CARY.SPP","DBH","bwood2",2.2013,NA
"CARY.SPP","DBH","bbark1",0.0365,NA
"CARY.SPP","DBH","bbark2",2.1133,NA
"CARY.SPP","DBH","bbranches1",0.0087,NA
"CARY.SPP","DBH","bbranches2",2.8927,NA
"CARY.SPP","DBH","bfoliage1",0.0173,NA
"CARY.SPP","DBH","bfoliage2",1.983,NA
"OSTR.VIR","DBH","bwood1",0.1929,NA
"OSTR.VIR","DBH","bwood2",1.9672,NA
"OSTR.VIR","DBH","bbark1",0.0671,NA
"OSTR.VIR","DBH","bbark2",1.5911,NA
"OSTR.VIR","DBH","bbranches1",0.0278,NA
"OSTR.VIR","DBH","bbranches2",2.1336,NA
"OSTR.VIR","DBH","bfoliage1",0.0293,NA
"OSTR.VIR","DBH","bfoliage2",1.9502,NA
"PINU.BAN","DBH","bwood1",0.0804,NA
"PINU.BAN","DBH","bwood2",2.4041,NA
